emotion,ID,task,type,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,mc1,mc2,programming exp,age,gender,education,ethnicity,algorithm definition
,R_1n3lTxIRhNdatMr,3,1,7,Using this method makes the process completely unbyast,5,5,6,2,3,3,I think it would make it easier to weed through the people who do not fit the qualifications,6,It just weeds through the people who do not meet the minimum qualificaitons.,2,0,1,29,1,3,1,not sure
,R_dm5IR9dmnsObbWh,3,1,7,The algorithm is benevolent.,6,6,4,4,4,4,Chris would be okay with the selection.,7,Algorithms can be trusted.,2,0,2,30,2,5,4,Algorithms are mathematical codes.
,R_2us645TFb2QyUCs,2,1,6,"He gave his availability, and it is what the company needs. He can change his availability if he doesn't want to work mornings.",5,4,4,3,2,2,I think he would be fine with his schedule and wouldn't feel strong emotion about it.,6,"It uses a lot of data to make its decisions, and I think that it probably makes the best overall decision for the business.",2,0,1,33,1,6,1,Mathematical formulas that account for a lot of factors to make decisions.
,R_31Y6UW3v4CoUZvU,2,1,6,Because the algorithms based on fairness,6,6,5,1,1,1,I'm just guessing.,5,I have no feelings either way,2,0,2,30,2,2,1,Computers making decisions
,R_1ltWWYmTnuhRLSb,1,1,7,The algorithm only makes the orders on machinery that has broken down or is in danger of doing so.,4,4,4,1,1,1,"He would only be doing his job, there should be no strong emotions either way",6,"algorithms exist for a reason, so I trust them, yes",2,0,1,29,1,5,1,Computerized programs that assist in making decisions in order to reduce work for humans
,R_2R3tBFIzKlALZnd,1,1,6,"Because, he works there so it is his job to do the work required.",5,5,5,2,1,1,I'm sure that Chris would feel the same way as he would having another person assign him tasks.,5,Because I believe that the algorithm would make good choices most of the time but there is always room for error.,2,0,1,31,1,2,1,Algorithms are programming code that tell computers what to do.
,R_21gOMSK4f8zTCGy,4,5,6,This is fair because there is no other reasonable manner to evaluate Chris's performance.,4,4,5,4,4,5,I answered this way because there was limited information to evaluate how Chris may or may not feel about his manager's evaluation.,4,As a baseline I place trust in individuals to perform their job competently and appropriately.,1,0,1,27,2,8,4,0
,R_1C7tzgGhw0D9SBQ,4,5,6,The evaluation seems very important.,5,4,5,3,2,2,If Chris is doing a good job the outcome is positive.,6,The manager is competent.,1,0,1,25,2,5,1,0
,R_ABxaZ9Ko5vq5Esh,4,5,6,"In order to make sure the employee is doing his job correctly, it would be fine for the manager to review his work.",4,3,4,2,2,3,Chris should have no problem with the manager reviewing his work.,5,"The manager knows what good quality is, so the evaluation should be fine.",1,0,2,45,2,3,1,0
,R_1q322wkryFMYYKX,3,5,7,If you don't have a good resume they shouldn't have to waste their time interviewing you.,3,1,3,3,1,1,He might just feel content about the process I'd think.,5,I'm sure he's used to this and has learned over time whom to pick out.,1,0,3,25,2,3,1,0
,R_3hrKaPiNOZlDtPX,3,5,7,The manager should be the one to decide.,7,7,7,1,1,1,Chris feels responsible.,7,Chris is confident.,1,0,2,30,2,5,4,0
,R_3iR2axpzofO4WNa,3,5,6,"With thousands of applicants seeking a position, it is understandable and appropriate that the manager should only select the top applicants for final on-site interviews. Attempting to interview all applicants, including Chris, would be ineffective and practically impossible.",5,5,5,1,1,1,"I think Chris has a lot of confidence in his experience and skills necessary for this position, which is why Chris applied. Chris understands the reasons for the manager's hiring procedures and is hoping for the best possible outcome.",5,"I trust the manager to make good quality decisions but this is only an assumption. If the manager fails to do quality work then sooner or later, she or he will be replaced or the company will fail. Without additional information, there is no harm done in assuming a moderate amount of trust.",1,0,3,46,2,4,1,0
,R_3fqUB47uolMBriC,2,5,7,Chris works there so he is subject to the manager's schedule. The manager schedule is at his/her disposal.,4,4,4,2,2,2,"Unless he had already asked for a certain shift like evenings instead mornings he should not feel angry, frustrated, or disappointed. I doubt he would necessarily be happy unless he wanted to work mornings. Nor do I think he would be proud or joyful.",5,It's hard to determine something like that without knowing the person. He seems knowledgeable as any other manager would be so some trust is appropriate. Also the manager does consider the employees availability.,1,0,1,33,1,5,1,0
,R_1nTmTbeyDBRG23H,2,5,6,Most customers visit a coffee shop in the morning and Chris was highly likely to be scheduled for the morning anyway.,6,5,4,2,1,1,Morning shifts are typically more desirable. I have observed companies with a seniority policy schedule the newest workers for night shifts and the ones who have been around longer for the day.,6,The manager was being fair.,1,0,2,27,1,4,1,0
,R_307taSTS8xXbKCz,1,5,7,"Because his job is related to manufacturing and maintenance, making him a very reasonable person to go to for a maintenance request.",5,5,6,2,2,4,"While he is happy to do the job his manager asked him to do, he probably will not enjoy it all that much. I can't see how someone would enjoy fixing machinery like that, but I would need more information. From my standpoint, Chris enjoys his job, but sometimes he is reluctant to do maintenance.",6,"Because he went to Chris who is someone that works with manufacturing machines, so he knows about maintenance.",1,0,1,25,1,5,1,0
,R_cPlJINeDuIVWXSh,1,5,7,"Because that is part of his job and that's what he gets paid to do. When a task is assigned to you, you should do it and ask questions if need be.",4,3,4,1,1,1,"I don't think he would be disappointed, or angry, I think he'd be pretty calm, or content because that's part of his job.",6,Because it is the managers job to be professional and to assign the appropriate tasks to his/her employees.,1,0,1,31,1,3,1,0
,R_2wdFjlYDw5bRVL0,1,5,6,It's part of his job so it seems fair.,4,4,4,1,1,1,There's no reason this decision should make him mad or particuarly happy either,5,There's no indication that the manager doesn't make good decisions,1,0,1,29,1,5,1,0
